Retailer,"Retailer ID",invoice_date,Region,State,City,Product,category,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
"Foot Locker",1185732,2020-01-01,Northeast,"New York","New York","Men's ","Street Footwear",50.00,1200,600000.00,300000.00,0.50,In-store
"Foot Locker",1185732,2020-01-02,Northeast,"New York","New York","Men's ","Athletic Footwear",50.00,1000,500000.00,150000.00,0.30,In-store
"Foot Locker",1185732,2020-01-03,Northeast,"New York","New York","Women's ","Street Footwear",40.00,1000,400000.00,140000.00,0.35,In-store
"Foot Locker",1185732,2020-01-04,Northeast,"New York","New York","Women's ","Athletic Footwear",45.00,850,382500.00,133875.00,0.35,In-store
"Foot Locker",1185732,2020-01-05,Northeast,"New York","New York","Men's ",Apparel,60.00,900,540000.00,162000.00,0.30,In-store
"Foot Locker",1185732,2020-01-06,Northeast,"New York","New York","Women's ",Apparel,50.00,1000,500000.00,125000.00,0.25,In-store
"Foot Locker",1185732,2020-01-07,Northeast,"New York","New York","Men's ","Street Footwear",50.00,1250,625000.00,312500.00,0.50,In-store
"Foot Locker",1185732,2020-01-08,Northeast,"New York","New York","Men's ","Athletic Footwear",50.00,900,450000.00,135000.00,0.30,Outlet
"Foot Locker",1185732,2020-01-21,Northeast,"New York","New York","Women's ","Street Footwear",40.00,950,380000.00,133000.00,0.35,Outlet
"Foot Locker",1185732,2020-01-22,Northeast,"New York","New York","Women's ","Athletic Footwear",45.00,825,371250.00,129937.50,0.35,Outlet
"Foot Locker",1185732,2020-01-23,Northeast,"New York","New York","Men's ",Apparel,60.00,900,540000.00,162000.00,0.30,Outlet
"Foot Locker",1185732,2020-01-24,Northeast,"New York","New York","Women's ",Apparel,50.00,1000,500000.00,125000.00,0.25,Outlet
"Foot Locker",1185732,2020-01-25,Northeast,"New York","New York","Men's ","Street Footwear",50.00,1220,610000.00,305000.00,0.50,Outlet
"Foot Locker",1185732,2020-01-26,Northeast,"New York","New York","Men's ","Athletic Footwear",50.00,925,462500.00,138750.00,0.30,Outlet
"Foot Locker",1185732,2020-01-27,Northeast,"New York","New York","Women's ","Street Footwear",40.00,950,380000.00,133000.00,0.35,Outlet
"Foot Locker",1185732,2020-01-28,Northeast,"New York","New York","Women's ","Athletic Footwear",45.00,800,360000.00,126000.00,0.35,Outlet
"Foot Locker",1185732,2020-01-29,Northeast,"New York","New York","Men's ",Apparel,60.00,850,510000.00,153000.00,0.30,Outlet
"Foot Locker",1185732,2020-01-30,Northeast,"New York","New York","Women's ",Apparel,50.00,950,475000.00,118750.00,0.25,Outlet
"Foot Locker",1185732,2020-01-31,Northeast,"New York","New York","Men's ","Street Footwear",50.00,1200,600000.00,300000.00,0.50,Outlet
"Foot Locker",1185732,2020-02-01,Northeast,"New York","New York","Men's ","Athletic Footwear",50.00,900,450000.00,135000.00,0.30,Outlet
"Foot Locker",1185732,2020-02-02,Northeast,"New York","New York","Women's ","Street Footwear",40.00,900,360000.00,126000.00,0.35,Outlet
"Foot Locker",1185732,2020-02-03,Northeast,"New York","New York","Women's ","Athletic Footwear",45.00,825,371250.00,129937.50,0.35,Outlet
"Foot Locker",1185732,2020-02-04,Northeast,"New York","New York","Men's ",Apparel,60.00,825,495000.00,148500.00,0.30,Outlet
"Foot Locker",1185732,2020-02-05,Northeast,"New York","New York","Women's ",Apparel,50.00,950,475000.00,118750.00,0.25,Outlet
"Foot Locker",1185732,2020-02-06,Northeast,"New York","New York","Men's ","Street Footwear",60.00,1220,732000.00,366000.00,0.50,Outlet
"Foot Locker",1185732,2020-02-07,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,925,508750.00,152625.00,0.30,Outlet
"Foot Locker",1185732,2020-02-08,Northeast,"New York","New York","Women's ","Street Footwear",50.00,900,450000.00,157500.00,0.35,Outlet
"Foot Locker",1185732,2020-02-09,Northeast,"New York","New York","Women's ","Athletic Footwear",50.00,850,425000.00,148750.00,0.35,Outlet
"Foot Locker",1185732,2020-02-10,Northeast,"New York","New York","Men's ",Apparel,60.00,875,525000.00,157500.00,0.30,Outlet
"Foot Locker",1185732,2020-03-03,Northeast,"New York","New York","Women's ",Apparel,65.00,1000,650000.00,162500.00,0.25,Outlet
"Foot Locker",1185732,2020-03-04,Northeast,"New York","New York","Men's ","Street Footwear",60.00,1250,750000.00,375000.00,0.50,Outlet
"Foot Locker",1185732,2020-03-05,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,1000,550000.00,165000.00,0.30,Outlet
"Foot Locker",1185732,2020-03-06,Northeast,"New York","New York","Women's ","Street Footwear",50.00,925,462500.00,161875.00,0.35,Outlet
"Foot Locker",1185732,2020-03-07,Northeast,"New York","New York","Women's ","Athletic Footwear",50.00,900,450000.00,157500.00,0.35,Outlet
"Foot Locker",1185732,2020-03-08,Northeast,"New York","New York","Men's ",Apparel,60.00,900,540000.00,162000.00,0.30,Outlet
"Foot Locker",1185732,2020-03-09,Northeast,"New York","New York","Women's ",Apparel,65.00,1050,682500.00,170625.00,0.25,Outlet
"Foot Locker",1185732,2020-03-10,Northeast,"New York","New York","Men's ","Street Footwear",60.00,1275,765000.00,382500.00,0.50,Outlet
"Foot Locker",1185732,2020-03-11,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,1025,563750.00,169125.00,0.30,Outlet
"Foot Locker",1185732,2020-03-12,Northeast,"New York","New York","Women's ","Street Footwear",50.00,950,475000.00,166250.00,0.35,Outlet
"Foot Locker",1185732,2020-03-13,Northeast,"New York","New York","Women's ","Athletic Footwear",50.00,900,450000.00,157500.00,0.35,Outlet
"Foot Locker",1185732,2020-03-14,Northeast,"New York","New York","Men's ",Apparel,60.00,925,555000.00,166500.00,0.30,Outlet
"Foot Locker",1185732,2020-03-15,Northeast,"New York","New York","Women's ",Apparel,65.00,1100,715000.00,178750.00,0.25,Outlet
"Foot Locker",1185732,2020-03-16,Northeast,"New York","New York","Men's ","Street Footwear",60.00,1250,750000.00,375000.00,0.50,Outlet
"Foot Locker",1185732,2020-03-17,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,1025,563750.00,169125.00,0.30,Outlet
"Foot Locker",1185732,2020-03-18,Northeast,"New York","New York","Women's ","Street Footwear",50.00,950,475000.00,166250.00,0.35,Outlet
"Foot Locker",1185732,2020-03-31,Northeast,"New York","New York","Women's ","Athletic Footwear",50.00,925,462500.00,161875.00,0.35,Outlet
Walmart,1185732,2020-04-17,Northeast,"New York","New York","Men's ",Apparel,60.00,900,540000.00,162000.00,0.30,Outlet
Walmart,1185732,2020-04-18,Northeast,"New York","New York","Women's ",Apparel,65.00,1075,698750.00,174687.50,0.25,Outlet
Walmart,1185732,2020-04-19,Northeast,"New York","New York","Men's ","Street Footwear",60.00,1200,720000.00,360000.00,0.50,Outlet
Walmart,1185732,2020-04-20,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,1000,550000.00,165000.00,0.30,Outlet
Walmart,1185732,2020-04-21,Northeast,"New York","New York","Women's ","Street Footwear",50.00,925,462500.00,161875.00,0.35,Outlet
Walmart,1185732,2020-04-22,Northeast,"New York","New York","Women's ","Athletic Footwear",50.00,900,450000.00,157500.00,0.35,Outlet
Walmart,1185732,2020-04-23,Northeast,"New York","New York","Men's ",Apparel,60.00,900,540000.00,162000.00,0.30,Outlet
Walmart,1185732,2020-04-24,Northeast,"New York","New York","Women's ",Apparel,65.00,1000,650000.00,162500.00,0.25,Outlet
Walmart,1185732,2020-04-25,Northeast,"New York","New York","Men's ",Apparel,65.00,875,568750.00,170625.00,0.30,Outlet
Walmart,1185732,2020-04-26,Northeast,"New York","New York","Women's ",Apparel,70.00,1000,700000.00,175000.00,0.25,Outlet
Walmart,1185732,2020-04-27,Northeast,"New York","New York","Men's ","Street Footwear",65.00,1150,747500.00,373750.00,0.50,Outlet
Walmart,1185732,2020-04-28,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,975,536250.00,160875.00,0.30,Outlet
Walmart,1185732,2020-04-29,Northeast,"New York","New York","Women's ","Street Footwear",55.00,920,506000.00,177100.00,0.35,Outlet
Walmart,1185732,2020-04-30,Northeast,"New York","New York","Women's ","Athletic Footwear",55.00,900,495000.00,173250.00,0.35,Outlet
Walmart,1185732,2020-05-01,Northeast,"New York","New York","Men's ",Apparel,65.00,875,568750.00,170625.00,0.30,Outlet
Walmart,1185732,2020-05-02,Northeast,"New York","New York","Women's ",Apparel,70.00,975,682500.00,170625.00,0.25,Outlet
Walmart,1185732,2020-05-03,Northeast,"New York","New York","Men's ","Street Footwear",65.00,1200,780000.00,390000.00,0.50,Outlet
